strain_id,generation,avg_profit
BT[-45.3280787663]DP[3.82321968688]ML[-0.203318874047],123,14.9022442532
BT[-45.3280787663]DP[3.82321968688]ML[-0.203318874047],124,14.9022442532
BT[-45.3280787663]DP[3.82321968688]ML[-0.203318874047],125,14.9022442532
BT[-50.4164100901]DP[3.82321968688]ML[-0.203318874047],126,14.9022442532
BT[-51.1682293135]DP[3.82321968688]ML[-0.203318874047],127,14.9022442532
BT[-49.209749119]DP[3.82321968688]ML[-0.203318874047],128,14.9022442532
BT[-49.209749119]DP[3.82321968688]ML[-0.203318874047],128,14.9022442532
BT[-67.0617533754]DP[3.82321968688]ML[-0.203318874047],130,14.9022442532
BT[-62.1342779303]DP[3.82321968688]ML[-0.203318874047],131,14.9022442532
BT[-61.0168020417]DP[3.82321968688]ML[-0.203318874047],132,14.9022442532
BT[-61.0168020417]DP[3.82321968688]ML[-0.203318874047],132,14.9022442532
BT[-58.0945307303]DP[3.82321968688]ML[-0.203318874047],132,14.9022442532
BT[-67.5866004896]DP[3.82321968688]ML[-0.203318874047],134,14.9022442532
BT[-61.0168020417]DP[3.82321968688]ML[-0.203318874047],134,14.9022442532
BT[-61.6986496181]DP[3.82321968688]ML[-0.203318874047],134,14.9022442532
BT[-61.6986496181]DP[3.82321968688]ML[-0.203318874047],134,14.9022442532
BT[-57.679614364]DP[3.82321968688]ML[-0.203318874047],135,14.9022442532
BT[-57.679614364]DP[3.82321968688]ML[-0.203318874047],135,14.9022442532
BT[-52.8617645813]DP[3.82321968688]ML[-0.203318874047],137,14.9022442532
BT[-44.5791468546]DP[3.82321968688]ML[-0.203318874047],138,14.9022442532
BT[-60.9609802344]DP[3.82321968688]ML[-0.203318874047],139,14.9022442532
BT[-68.6615517586]DP[3.82321968688]ML[-0.203318874047],140,14.9022442532
BT[-55.3098517217]DP[3.82321968688]ML[-0.203318874047],139,14.9022442532
BT[-55.3098517217]DP[3.82321968688]ML[-0.203318874047],140,14.9022442532
BT[-45.8310702027]DP[3.82321968688]ML[-0.203318874047],141,14.9022442532
BT[-43.8635421555]DP[3.82321968688]ML[-0.203318874047],142,14.9022442532
BT[-39.2225378241]DP[3.82321968688]ML[-0.203318874047],143,14.9022442532
BT[-46.8770356159]DP[3.82321968688]ML[-0.203318874047],143,14.9022442532
BT[-41.1010317928]DP[3.82321968688]ML[-0.203318874047],144,14.9022442532
BT[-41.1010317928]DP[3.82321968688]ML[-0.203318874047],144,14.9022442532
BT[-40.9731193628]DP[3.82321968688]ML[-0.203318874047],145,14.9022442532
BT[-48.9488384425]DP[3.82321968688]ML[-0.203318874047],146,14.9022442532
BT[-39.3735184724]DP[3.82321968688]ML[-0.203318874047],145,14.9022442532
BT[-40.7361803636]DP[3.82321968688]ML[-0.203318874047],146,14.9022442532
BT[-40.7361803636]DP[3.82321968688]ML[-0.203318874047],146,14.9022442532
BT[-34.3000024257]DP[3.82321968688]ML[-0.203318874047],147,14.9022442532
BT[-40.7361803636]DP[3.82321968688]ML[-0.203318874047],147,14.9022442532
BT[-40.5971233997]DP[3.82321968688]ML[-0.203318874047],148,14.9022442532
BT[-30.7688783655]DP[3.82321968688]ML[-0.203318874047],149,14.9022442532
BT[-30.7688783655]DP[3.82321968688]ML[-0.203318874047],150,14.9022442532
BT[-30.7688783655]DP[3.82321968688]ML[-0.203318874047],151,14.9022442532
BT[-25.8763892626]DP[3.82321968688]ML[-0.203318874047],152,14.9022442532
BT[-31.2846668336]DP[3.82321968688]ML[-0.203318874047],152,14.9022442532
BT[-31.2846668336]DP[3.82321968688]ML[-0.203318874047],152,14.9022442532
BT[-18.3096328665]DP[3.82321968688]ML[-0.203318874047],155,14.9022442532
BT[-31.2846668336]DP[3.82321968688]ML[-0.203318874047],153,14.9022442532
BT[-27.9065598676]DP[3.82321968688]ML[-0.203318874047],154,14.9022442532
